Target OG nRef Refs P-value SSE Coeff1 Coeff2 Coeff3 SE1 SE2 SE3
BerezovayaLuka_BA OG1 1 Anatolia_Neolithic;Shuangta_EN 5.050618976432592e-4 1.87519e-06 0.897 0.103 NA 0.009 0.009 NA
BerezovayaLuka_BA OG1 2 Anatolia_Neolithic;Baikal1 8.357769753753014e-5 2.11582e-06 0.912 0.088 NA 0.008 0.008 NA
BerezovayaLuka_BA OG1 3 Anatolia_Neolithic;Borly4b 2.1460817253382e-4 1.80047e-06 0.809 0.191 NA 0.019 0.019 NA
BerezovayaLuka_BA OG1 4 Anatolia_Neolithic;Var1 0.0059638941807014295 7.06526e-07 0.704 0.296 NA 0.026 0.026 NA
BerezovayaLuka_BA OG1 5 Anatolia_Neolithic;Derkul.SG 2.7678240624698642e-6 2.87036e-06 0.551 0.449 NA 0.052 0.052 NA
BerezovayaLuka_BA OG1 6 Balkans_Neolithic;Shuangta_EN 9.079582208399287e-7 2.27899e-06 0.886 0.114 NA 0.009 0.009 NA
BerezovayaLuka_BA OG1 7 Balkans_Neolithic;Baikal1 1.3978414511666062e-6 2.13973e-06 0.899 0.101 NA 0.007 0.007 NA
BerezovayaLuka_BA OG1 8 Balkans_Neolithic;Borly4b 5.221301660192779e-6 1.97387e-06 0.787 0.213 NA 0.017 0.017 NA
BerezovayaLuka_BA OG1 9 Balkans_Neolithic;Var1 1.1842969494758796e-10 3.95318e-06 0.689 0.311 NA 0.027 0.027 NA
BerezovayaLuka_BA OG1 10 Balkans_Neolithic;Derkul.SG 5.14675245002184e-16 6.5442e-06 0.433 0.567 NA 0.090 0.090 NA
BerezovayaLuka_BA OG1 11 Iran_BronzeAge;Shuangta_EN 3.0053015089394136e-4 1.809e-06 0.912 0.088 NA 0.010 0.010 NA
BerezovayaLuka_BA OG1 12 Iran_BronzeAge;Baikal1 1.3237675850516325e-5 2.35424e-06 0.921 0.079 NA 0.009 0.009 NA
BerezovayaLuka_BA OG1 13 Iran_BronzeAge;Borly4b 4.2878797140410834e-5 2.10431e-06 0.824 0.176 NA 0.021 0.021 NA
BerezovayaLuka_BA OG1 14 Iran_BronzeAge;Var1 0.0020630529709240054 8.01986e-07 0.723 0.277 NA 0.028 0.028 NA
BerezovayaLuka_BA OG1 15 Iran_BronzeAge;Derkul.SG 1.673198860865168e-6 2.88643e-06 0.561 0.439 NA 0.058 0.058 NA
BerezovayaLuka_BA OG1 16 Anatolia_Neolithic;Shuangta_EN;Sahiwal 1.4344389622102135e-4 1.86613e-06 0.897 0.103 -0.000 0.012 0.014 0.002
BerezovayaLuka_BA OG1 17 Anatolia_Neolithic;Baikal1;Sahiwal 2.1799927678422974e-5 2.12631e-06 0.913 0.087 0.000 0.010 0.012 0.002
BerezovayaLuka_BA OG1 18 Anatolia_Neolithic;Borly4b;Sahiwal 8.414613650506213e-5 1.89034e-06 0.823 0.175 0.002 0.024 0.026 0.002
BerezovayaLuka_BA OG1 19 Anatolia_Neolithic;Var1;Sahiwal 0.017286755161711007 6.57217e-07 0.736 0.260 0.004 0.030 0.031 0.002
BerezovayaLuka_BA OG1 20 Anatolia_Neolithic;Derkul.SG;Sahiwal 0.21855965008700992 2.26718e-07 0.619 0.372 0.009 0.045 0.046 0.002
BerezovayaLuka_BA OG1 21 Balkans_Neolithic;Shuangta_EN;Sahiwal 0.0015174321959331516 1.17078e-06 0.923 0.066 0.011 0.012 0.014 0.003
BerezovayaLuka_BA OG1 22 Balkans_Neolithic;Baikal1;Sahiwal 0.004303770019016232 9.53052e-07 0.928 0.061 0.011 0.010 0.012 0.003
BerezovayaLuka_BA OG1 23 Balkans_Neolithic;Borly4b;Sahiwal 0.022577166107718927 6.67171e-07 0.862 0.127 0.011 0.024 0.026 0.003
BerezovayaLuka_BA OG1 24 Balkans_Neolithic;Var1;Sahiwal 7.001402716643913e-4 1.15326e-06 0.823 0.164 0.013 0.034 0.035 0.002
BerezovayaLuka_BA OG1 25 Balkans_Neolithic;Derkul.SG;Sahiwal 0.007018700759177218 8.11653e-07 0.778 0.205 0.017 0.058 0.059 0.002
BerezovayaLuka_BA OG1 26 Iran_BronzeAge;Shuangta_EN;Sahiwal 1.120064532413009e-4 1.88986e-06 0.919 0.079 0.002 0.014 0.015 0.003
BerezovayaLuka_BA OG1 27 Iran_BronzeAge;Baikal1;Sahiwal 3.8476394513338854e-6 2.43382e-06 0.926 0.073 0.002 0.011 0.012 0.002
BerezovayaLuka_BA OG1 28 Iran_BronzeAge;Borly4b;Sahiwal 1.562746673852231e-5 2.23621e-06 0.838 0.160 0.002 0.027 0.028 0.002
BerezovayaLuka_BA OG1 29 Iran_BronzeAge;Var1;Sahiwal 0.0058337562498639965 8.24145e-07 0.758 0.238 0.004 0.033 0.034 0.002
BerezovayaLuka_BA OG1 30 Iran_BronzeAge;Derkul.SG;Sahiwal 0.09130261038834667 3.81817e-07 0.643 0.348 0.009 0.052 0.052 0.002
Kolyvanskoe-1_BA OG1 1 Anatolia_Neolithic;Shuangta_EN 3.6644812764537296e-5 2.18907e-06 0.906 0.094 NA 0.011 0.011 NA
Kolyvanskoe-1_BA OG1 2 Anatolia_Neolithic;Baikal1 1.334633106525108e-5 2.2749e-06 0.921 0.079 NA 0.009 0.009 NA
Kolyvanskoe-1_BA OG1 3 Anatolia_Neolithic;Borly4b 3.228628070481085e-6 2.15654e-06 0.823 0.177 NA 0.023 0.023 NA
Kolyvanskoe-1_BA OG1 4 Anatolia_Neolithic;Var1 3.115818684451154e-4 1.1389e-06 0.732 0.268 NA 0.030 0.030 NA
Kolyvanskoe-1_BA OG1 5 Anatolia_Neolithic;Derkul.SG 1.2710691953045442e-4 2.76985e-06 0.588 0.412 NA 0.051 0.051 NA
Kolyvanskoe-1_BA OG1 6 Balkans_Neolithic;Shuangta_EN 1.3015154261308061e-7 2.68452e-06 0.896 0.104 NA 0.011 0.011 NA
Kolyvanskoe-1_BA OG1 7 Balkans_Neolithic;Baikal1 8.869177132251977e-8 2.65061e-06 0.905 0.095 NA 0.009 0.009 NA
Kolyvanskoe-1_BA OG1 8 Balkans_Neolithic;Borly4b 1.4186989587848878e-9 3.2816e-06 0.797 0.203 NA 0.022 0.022 NA
Kolyvanskoe-1_BA OG1 9 Balkans_Neolithic;Var1 9.37426015290747e-12 4.6175e-06 0.712 0.288 NA 0.034 0.034 NA
Kolyvanskoe-1_BA OG1 10 Balkans_Neolithic;Derkul.SG 7.510013735330395e-15 7.53288e-06 0.491 0.509 NA 0.096 0.096 NA
Kolyvanskoe-1_BA OG1 11 Iran_BronzeAge;Shuangta_EN 1.4636814965855448e-4 2.09071e-06 0.921 0.079 NA 0.012 0.012 NA
Kolyvanskoe-1_BA OG1 12 Iran_BronzeAge;Baikal1 1.1375895145858157e-5 2.5239e-06 0.930 0.070 NA 0.010 0.010 NA
Kolyvanskoe-1_BA OG1 13 Iran_BronzeAge;Borly4b 7.415912540865613e-6 2.32409e-06 0.835 0.165 NA 0.025 0.025 NA
Kolyvanskoe-1_BA OG1 14 Iran_BronzeAge;Var1 3.3111020862468916e-4 1.22251e-06 0.751 0.249 NA 0.033 0.033 NA
Kolyvanskoe-1_BA OG1 15 Iran_BronzeAge;Derkul.SG 3.891228535623001e-5 2.86488e-06 0.611 0.389 NA 0.058 0.058 NA
Kolyvanskoe-1_BA OG1 16 Anatolia_Neolithic;Shuangta_EN;Sahiwal 1.282682599351142e-5 2.3199e-06 0.914 0.084 0.002 0.014 0.016 0.003
Kolyvanskoe-1_BA OG1 17 Anatolia_Neolithic;Baikal1;Sahiwal 6.329437914351993e-6 2.37056e-06 0.928 0.069 0.003 0.011 0.013 0.003
Kolyvanskoe-1_BA OG1 18 Anatolia_Neolithic;Borly4b;Sahiwal 1.713904292334285e-5 2.14107e-06 0.861 0.133 0.006 0.028 0.029 0.002
Kolyvanskoe-1_BA OG1 19 Anatolia_Neolithic;Var1;Sahiwal 0.0028226045553640194 9.60607e-07 0.770 0.225 0.005 0.033 0.034 0.002
Kolyvanskoe-1_BA OG1 20 Anatolia_Neolithic;Derkul.SG;Sahiwal 0.45721972702990665 1.18291e-07 0.642 0.350 0.008 0.048 0.048 0.002
Kolyvanskoe-1_BA OG1 21 Balkans_Neolithic;Shuangta_EN;Sahiwal 0.0017526814043618633 1.10942e-06 0.937 0.051 0.013 0.014 0.016 0.003
Kolyvanskoe-1_BA OG1 22 Balkans_Neolithic;Baikal1;Sahiwal 0.003468608661683453 9.83277e-07 0.939 0.048 0.013 0.011 0.013 0.003
Kolyvanskoe-1_BA OG1 23 Balkans_Neolithic;Borly4b;Sahiwal 0.015624082396954335 7.30772e-07 0.904 0.080 0.015 0.028 0.030 0.003
Kolyvanskoe-1_BA OG1 24 Balkans_Neolithic;Var1;Sahiwal 8.805414545528568e-4 1.11907e-06 0.857 0.129 0.015 0.038 0.040 0.002
Kolyvanskoe-1_BA OG1 25 Balkans_Neolithic;Derkul.SG;Sahiwal 6.537319893154615e-4 1.17892e-06 0.816 0.167 0.017 0.070 0.071 0.002
Kolyvanskoe-1_BA OG1 26 Iran_BronzeAge;Shuangta_EN;Sahiwal 8.191536477699164e-5 2.16074e-06 0.933 0.064 0.003 0.015 0.017 0.003
Kolyvanskoe-1_BA OG1 27 Iran_BronzeAge;Baikal1;Sahiwal 5.647114089760409e-6 2.57511e-06 0.938 0.059 0.003 0.012 0.013 0.003
Kolyvanskoe-1_BA OG1 28 Iran_BronzeAge;Borly4b;Sahiwal 1.6485382114127587e-5 2.3384e-06 0.871 0.124 0.005 0.031 0.032 0.003
Kolyvanskoe-1_BA OG1 29 Iran_BronzeAge;Var1;Sahiwal 0.002008714554458244 1.08323e-06 0.790 0.205 0.005 0.036 0.037 0.002
Kolyvanskoe-1_BA OG1 30 Iran_BronzeAge;Derkul.SG;Sahiwal 0.16166727789146287 2.82006e-07 0.672 0.320 0.009 0.053 0.054 0.002
Shiderti10 OG1 1 Anatolia_Neolithic;Shuangta_EN 0.00791080796997975 2.30871e-06 0.896 0.104 NA 0.015 0.015 NA
Shiderti10 OG1 2 Anatolia_Neolithic;Baikal1 0.011092893891033581 2.09659e-06 0.908 0.092 NA 0.013 0.013 NA
Shiderti10 OG1 3 Anatolia_Neolithic;Borly4b 0.04758544025513728 1.36926e-06 0.777 0.223 NA 0.031 0.031 NA
Shiderti10 OG1 4 Anatolia_Neolithic;Var1 0.11989837768397009 6.65737e-07 0.669 0.331 NA 0.045 0.045 NA
Shiderti10 OG1 5 Anatolia_Neolithic;Derkul.SG 0.025735568851540033 2.11697e-06 0.525 0.475 NA 0.086 0.086 NA
Shiderti10 OG1 6 Balkans_Neolithic;Shuangta_EN 0.03997720923173874 1.39e-06 0.880 0.120 NA 0.014 0.014 NA
Shiderti10 OG1 7 Balkans_Neolithic;Baikal1 0.034136110881205495 1.45395e-06 0.894 0.106 NA 0.012 0.012 NA
Shiderti10 OG1 8 Balkans_Neolithic;Borly4b 0.041020188404884604 1.51549e-06 0.752 0.248 NA 0.029 0.029 NA
Shiderti10 OG1 9 Balkans_Neolithic;Var1 8.787917837825127e-4 3.02382e-06 0.652 0.348 NA 0.044 0.044 NA
Shiderti10 OG1 10 Balkans_Neolithic;Derkul.SG 7.281649771191801e-5 4.98205e-06 0.473 0.527 NA 0.114 0.114 NA
Shiderti10 OG1 11 Iran_BronzeAge;Shuangta_EN 0.020780747753474497 2.36885e-06 0.905 0.095 NA 0.017 0.017 NA
Shiderti10 OG1 12 Iran_BronzeAge;Baikal1 0.0029857973932667812 2.92099e-06 0.918 0.082 NA 0.015 0.015 NA
Shiderti10 OG1 13 Iran_BronzeAge;Borly4b 0.012267831184428974 2.18524e-06 0.803 0.197 NA 0.036 0.036 NA
Shiderti10 OG1 14 Iran_BronzeAge;Var1 0.13928389354389054 7.42902e-07 0.680 0.320 NA 0.049 0.049 NA
Shiderti10 OG1 15 Iran_BronzeAge;Derkul.SG 0.0361772113552302 1.65931e-06 0.529 0.471 NA 0.092 0.092 NA
Shiderti10 OG1 16 Anatolia_Neolithic;Shuangta_EN;Sahiwal 0.002923154862344351 2.38143e-06 0.900 0.098 0.001 0.021 0.024 0.004
Shiderti10 OG1 17 Anatolia_Neolithic;Baikal1;Sahiwal 0.004239849815536438 2.13195e-06 0.911 0.088 0.001 0.017 0.020 0.004
Shiderti10 OG1 18 Anatolia_Neolithic;Borly4b;Sahiwal 0.02715743730554613 1.49607e-06 0.801 0.196 0.003 0.044 0.047 0.004
Shiderti10 OG1 19 Anatolia_Neolithic;Var1;Sahiwal 0.12445148125428805 6.14205e-07 0.707 0.289 0.004 0.054 0.056 0.003
Shiderti10 OG1 20 Anatolia_Neolithic;Derkul.SG;Sahiwal 0.26572320462984966 4.26533e-07 0.588 0.404 0.007 0.082 0.083 0.003
Shiderti10 OG1 21 Balkans_Neolithic;Shuangta_EN;Sahiwal 0.16258770824170993 6.44705e-07 0.913 0.077 0.010 0.021 0.025 0.004
Shiderti10 OG1 22 Balkans_Neolithic;Baikal1;Sahiwal 0.12665357139688493 7.32724e-07 0.920 0.071 0.009 0.018 0.021 0.004
Shiderti10 OG1 23 Balkans_Neolithic;Borly4b;Sahiwal 0.23214874129560817 6.23291e-07 0.831 0.159 0.010 0.044 0.048 0.004
Shiderti10 OG1 24 Balkans_Neolithic;Var1;Sahiwal 0.05138447783322337 9.88072e-07 0.791 0.197 0.012 0.060 0.063 0.004
